銘柄コード,銘柄名称,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日
13010,極洋,株式,プライム,水産・農林業,100,1949-05-16,
13050,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF,その他,nan,10,2001-07-13,
13060,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF,その他,nan,10,2001-07-13,
13080,上場インデックスファンドＴＯＰＩＸ,ETF,その他,nan,1,2002-01-09,
13090,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF,その他,nan,1,2013-07-16,
13110,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF,その他,nan,1,2002-04-03,
13190,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF,その他,nan,1000,1995-05-29,
13200,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF,その他,nan,1,2013-07-16,
13210,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF,その他,nan,1,2013-07-16,
13220,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF,その他,nan,1,2008-04-11,
13250,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF,その他,nan,10,2008-07-18,
13260,ＳＰＤＲゴールド・シェア,ETF,その他,nan,1,2008-06-30,
13280,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF,その他,nan,1,2013-07-16,
13290,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF,その他,nan,1,2001-09-05,
13300,上場インデックスファンド２２５,ETF,その他,nan,1,2001-07-13,
13320,ニッスイ,株式,プライム,水産・農林業,100,1949-05-16,
13330,Ｕｍｉｏｓ,株式,プライム,水産・農林業,100,2014-04-01,
13430,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF,その他,nan,10,2008-09-18,
13450,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF,その他,nan,1,2008-10-21,
13460,ＭＡＸＩＳ　日経２２５上場投信,ETF,その他,nan,1,2013-07-16,
13480,ＭＡＸＩＳ　トピックス上場投信,ETF,その他,nan,1,2009-05-15,
13490,ＡＢＦ汎アジア債券インデックス・ファンド,ETF,その他,nan,1,2009-06-19,
13560,ＴＯＰＩＸベア２倍上場投信,ETF,その他,nan,10,2014-05-29,
13570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF,その他,nan,1,2014-07-16,
13580,上場インデックスファンド日経レバレッジ指数,ETF,その他,nan,1,2014-08-26,
13600,日経平均ベア２倍上場投信,ETF,その他,nan,10,2014-11-11,
13640,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF,その他,nan,1,2014-12-02,
13650,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF,その他,nan,1,2015-01-06,
13660,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF,その他,nan,1,2015-01-06,
13670,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF,その他,nan,1,2015-01-06,
13680,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF,その他,nan,1,2015-01-06,
13690,Ｏｎｅ　ＥＴＦ　日経２２５,ETF,その他,nan,1,2015-01-15,
13750,ユキグニファクトリー,株式,プライム,水産・農林業,100,2020-09-17,
13760,カネコ種苗,株式,スタンダード,水産・農林業,100,2013-07-16,
13770,サカタのタネ,株式,プライム,水産・農林業,100,1987-05-11,
13790,ホクト,株式,プライム,水産・農林業,100,1999-11-29,
13800,秋川牧園,株式,スタンダード,水産・農林業,100,2013-07-16,
13810,アクシーズ,株式,スタンダード,水産・農林業,100,2013-07-16,
13820,ホーブ,株式,スタンダード,水産・農林業,100,2013-07-16,
13830,ベルグアース,株式,スタンダード,水産・農林業,100,2013-07-16,
13840,ホクリヨウ,株式,スタンダード,水産・農林業,100,2015-02-20,
13970,ＳＭＤＡＭ　日経２２５上場投信,ETF,その他,nan,1,2015-03-25,
13980,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF,その他,nan,10,2015-03-25,
13990,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF,その他,nan,1,2015-12-01,
14010,エムビーエス,株式,グロース,建設業,100,2015-08-13,
14070,ウエストホールディングス,株式,スタンダード,建設業,100,2013-07-16,
14140,ショーボンドホールディングス,株式,プライム,建設業,100,2008-01-04,
14170,ミライト・ワン,株式,プライム,建設業,100,2010-10-01,
14180,インターライフホールディングス,株式,スタンダード,建設業,100,2013-07-16,
14190,タマホーム,株式,プライム,建設業,100,2013-03-27,
14200,サンヨーホームズ,株式,スタンダード,建設業,100,2013-04-09,
14290,日本アクア,株式,プライム,建設業,100,2013-12-13,
14300,ファーストコーポレーション,株式,スタンダード,建設業,100,2015-03-24,
14310,Ｌｉｂ　Ｗｏｒｋ,株式,グロース,建設業,100,2019-06-18,
14320,動力,株式,TOKYO PRO Market,建設業,100,2015-08-18,
14330,ベステラ,株式,プライム,建設業,100,2015-09-02,
14340,ＪＥＳＣＯホールディングス,株式,スタンダード,建設業,100,2015-09-08,
14350,ｒｏｂｏｔ　ｈｏｍｅ,株式,スタンダード,不動産業,100,2015-12-03,
14360,グリーンエナジー＆カンパニー,株式,グロース,建設業,100,2016-03-11,
14380,岐阜造園,株式,スタンダード,建設業,100,2022-09-28,
14430,技研ホールディングス,株式,スタンダード,建設業,100,2018-01-09,
14440,ニッソウ,株式,グロース,建設業,100,2022-07-25,
14450,ひかりホールディングス,株式,TOKYO PRO Market,建設業,100,2018-05-16,
14460,キャンディル,株式,スタンダード,建設業,100,2018-07-05,
14470,ＳＡＡＦホールディングス,株式,グロース,建設業,100,2018-10-01,
14500,ＴＡＮＡＫＥＮ,株式,スタンダード,建設業,100,2018-12-18,
14520,横浜ライト工業,株式,TOKYO PRO Market,建設業,100,2020-02-27,
14560,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ETF,その他,nan,1,2015-04-27,
14570,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ETF,その他,nan,1,2015-04-27,
14580,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF,その他,nan,1,2015-07-15,
14590,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF,その他,nan,1,2015-07-15,
14660,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ETF,その他,nan,1,2015-08-24,
14690,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF,その他,nan,10,2015-08-24,
14720,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF,その他,nan,1,2015-08-24,
14730,Ｏｎｅ　ＥＴＦ　トピックス,ETF,その他,nan,10,2015-09-07,
14740,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF,その他,nan,1,2015-09-07,
14750,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF,その他,nan,10,2015-10-20,
14760,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF,その他,nan,1,2015-10-20,
14770,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF,その他,nan,1,2015-10-20,
14780,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF,その他,nan,1,2015-10-20,
14790,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ETF,その他,nan,1,2016-05-19,
14800,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF,その他,nan,1,2016-05-19,
14810,上場インデックスファンド日本経済貢献株,ETF,その他,nan,1,2016-05-25,
14820,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF,その他,nan,1,2016-05-27,
14830,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF,その他,nan,1,2016-06-10,
14840,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF,その他,nan,10,2016-06-10,
14850,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF,その他,nan,1,2016-06-29,
14860,上場インデックスファンド米国債券（為替ヘッジなし）,ETF,その他,nan,1,2016-08-31,
14870,上場インデックスファンド米国債券（為替ヘッジあり）,ETF,その他,nan,1,2016-08-31,
14880,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ETF,その他,nan,1,2016-10-25,
14890,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF,その他,nan,1,2017-02-13,
14900,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF,その他,nan,1,2017-03-13,
14910,中外鉱業,株式,スタンダード,非鉄金属,100,1949-05-16,
14930,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF,その他,nan,1,2017-05-23,
14940,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF,その他,nan,1,2017-05-23,
14950,上場インデックスファンドアジアリート,ETF,その他,nan,1,2017-06-29,
14960,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF,その他,nan,1,2017-08-25,
14970,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF,その他,nan,1,2017-08-25,
14980,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF,その他,nan,1,2017-11-28,
14990,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF,その他,nan,1,2017-12-13,
15140,住石ホールディングス,株式,スタンダード,鉱業,100,2008-10-01,
15150,日鉄鉱業,株式,プライム,鉱業,100,1954-03-03,
15180,三井松島ホールディングス,株式,プライム,その他製品,100,1961-10-02,
15400,純金上場信託（現物国内保管型）,ETF,その他,nan,1,2010-07-02,
15410,純プラチナ上場信託（現物国内保管型）,ETF,その他,nan,1,2010-07-02,
15420,純銀上場信託（現物国内保管型）,ETF,その他,nan,1,2010-07-02,
15430,純パラジウム上場信託（現物国内保管型）,ETF,その他,nan,1,2010-07-02,
15450,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ETF,その他,nan,10,2013-07-16,
15460,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ETF,その他,nan,1,2013-07-16,
15470,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF,その他,nan,1,2010-10-29,
15500,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF,その他,nan,1,2010-11-25,
15510,東証スタンダードＴＯＰ２０ＥＴＦ,ETF,その他,nan,10,2013-07-16,
15540,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF,その他,nan,1,2011-03-08,
15550,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,ETF,その他,nan,1,2011-03-09,
15570,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,ETF,その他,nan,1,2011-03-24,
15590,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF,その他,nan,1,2011-05-12,
15600,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF,その他,nan,1,2011-05-12,
15630,東証グロース・コアＥＴＦ,ETF,その他,nan,1,2011-11-29,
15660,上場インデックスファンド新興国債券,ETF,その他,nan,1,2012-03-30,
15680,ＴＯＰＩＸブル２倍上場投信,ETF,その他,nan,10,2012-04-05,
15690,ＴＯＰＩＸベア上場投信,ETF,その他,nan,10,2012-04-05,
15700,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF,その他,nan,1,2013-07-16,
15710,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF,その他,nan,1,2013-07-16,
15720,中国Ｈ株ブル２倍上場投信,ETF,その他,nan,10,2012-12-06,
15730,中国Ｈ株ベア上場投信,ETF,その他,nan,10,2012-12-06,
15770,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF,その他,nan,1,2013-03-07,
15780,上場インデックスファンド日経２２５（ミニ）,ETF,その他,nan,1,2013-03-25,
15790,日経平均ブル２倍上場投信,ETF,その他,nan,10,2013-05-09,
15800,日経平均ベア上場投信,ETF,その他,nan,10,2013-05-09,
15850,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF,その他,nan,10,2013-09-20,
15860,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF,その他,nan,1,2013-09-26,
15910,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF,その他,nan,1,2014-01-28,
15920,上場インデックスファンドＪＰＸ日経インデックス４００,ETF,その他,nan,1,2014-01-28,
15930,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF,その他,nan,1,2014-02-06,
15950,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF,その他,nan,1,2014-03-07,
15960,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF,その他,nan,1,2014-03-07,
15970,ＭＡＸＩＳ　Ｊリート上場投信,ETF,その他,nan,1,2014-02-25,
15990,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,ETF,その他,nan,1,2014-03-27,
16050,ＩＮＰＥＸ,株式,プライム,鉱業,100,2006-04-03,
16150,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF,その他,nan,10,2002-04-03,
16170,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16180,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16190,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16200,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16210,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16220,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16230,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16240,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16250,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16260,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16270,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16280,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16290,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,10,2008-03-25,
16300,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16310,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16320,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16330,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF,その他,nan,1,2008-03-25,
16510,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,ETF,その他,nan,1,2017-09-26,
16520,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF,その他,nan,10,2017-09-26,
16530,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF,その他,nan,10,2017-09-26,
16540,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF,その他,nan,10,2017-09-26,
16550,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF,その他,nan,10,2017-09-28,
16560,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ETF,その他,nan,10,2017-09-28,
16570,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,ETF,その他,nan,1,2017-09-28,
16580,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF,その他,nan,1,2017-09-28,
16590,ｉシェアーズ　米国リート　ＥＴＦ,ETF,その他,nan,1,2017-09-28,
16600,ＭＡＸＩＳ高利回りＪリート上場投信,ETF,その他,nan,1,2017-10-11,
16620,石油資源開発,株式,プライム,鉱業,100,2003-12-10,
16630,Ｋ＆Ｏエナジーグループ,株式,プライム,鉱業,100,2014-01-06,
16710,ＷＴＩ原油価格連動型上場投信,ETF,その他,nan,1,2013-07-16,
16720,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF,その他,nan,1,2009-08-24,
16730,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF,その他,nan,10,2009-08-24,
16740,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF,その他,nan,1,2009-08-24,
16750,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF,その他,nan,1,2009-08-24,
16760,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF,その他,nan,1,2009-08-24,
16770,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF,その他,nan,10,2009-09-30,
16780,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,ETF,その他,nan,10,2009-11-26,
16790,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,ETF,その他,nan,10,2009-12-10,
16800,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF,その他,nan,1,2010-01-29,
16810,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,ETF,その他,nan,1,2010-02-24,
16840,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF,その他,nan,10,2010-03-19,
16850,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF,その他,nan,10,2010-03-19,
16860,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF,その他,nan,10,2010-03-19,
16870,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF,その他,nan,10,2010-03-19,
16880,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF,その他,nan,10,2010-03-19,
16890,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF,その他,nan,1,2010-03-19,
16900,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF,その他,nan,10,2010-03-19,
16910,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF,その他,nan,1,2010-03-19,
16920,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF,その他,nan,100,2010-03-19,
16930,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF,その他,nan,10,2010-03-19,
16940,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF,その他,nan,10,2010-03-19,
16950,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF,その他,nan,1,2010-03-19,
16960,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF,その他,nan,1,2010-03-19,
16970,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF,その他,nan,10,2010-03-19,
16980,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF,その他,nan,1,2010-05-14,
16990,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,ETF,その他,nan,10,2010-05-17,
17110,ＳＤＳホールディングス,株式,スタンダード,建設業,100,2004-12-16,
17120,ダイセキ環境ソリューション,株式,上場廃止,建設業,100,2004-12-08,2025-12-19
17160,第一カッター興業,株式,スタンダード,建設業,100,2013-07-16,
17170,明豊ファシリティワークス,株式,スタンダード,サービス業,100,2013-07-16,
17180,美樹工業,株式,スタンダード,建設業,100,2013-07-16,
17190,安藤・間,株式,プライム,建設業,100,2003-10-01,
17200,東急建設,株式,プライム,建設業,100,2003-10-01,
17210,コムシスホールディングス,株式,プライム,建設業,100,2003-09-29,
17230,日本電技,株式,スタンダード,建設業,100,2013-07-16,
17240,シンクレイヤ,株式,スタンダード,建設業,100,2013-07-16,
17260,ビーアールホールディングス,株式,上場廃止,建設業,100,2002-09-26,2026-06-01
17360,オーテック,株式,スタンダード,建設業,100,2013-07-16,
17430,コーアツ工業,株式,上場廃止,建設業,100,2013-07-16,2025-11-28
17570,創建エース,株式,上場廃止,建設業,100,2013-07-16,2025-09-19
17580,太洋基礎工業,株式,スタンダード,建設業,100,2013-07-16,
17620,高松コンストラクショングループ,株式,プライム,建設業,100,2000-01-31,
17640,工藤建設,株式,スタンダード,建設業,100,1997-04-11,
17660,東建コーポレーション,株式,プライム,建設業,100,2002-03-20,
17680,ソネック,株式,スタンダード,建設業,100,2013-07-16,
17700,藤田エンジニアリング,株式,スタンダード,建設業,100,2013-07-16,
17730,ワイ・ティー・エル・コーポレーション・バーハッド,株式,プライム,建設業,1000,1996-02-29,
17760,三井住建道路,株式,上場廃止,建設業,100,1996-02-15,2026-05-29
17800,ヤマウラ,株式,プライム,建設業,100,1997-08-26,
17830,ｆａｎｔａｓｉｓｔａ,株式,スタンダード,不動産業,100,2013-07-16,
17860,オリエンタル白石,株式,プライム,建設業,100,2021-04-01,
17870,ナカボーテック,株式,スタンダード,建設業,100,2013-07-16,
17880,三東工業社,株式,スタンダード,建設業,100,2013-07-16,
17930,大本組,株式,スタンダード,建設業,100,2013-07-16,
17950,マサル,株式,スタンダード,建設業,100,2013-07-16,
17980,守谷商会,株式,スタンダード,建設業,100,2013-07-16,
17990,第一建設工業,株式,スタンダード,建設業,100,2013-07-16,
18010,大成建設,株式,プライム,建設業,100,1957-09-09,
18020,大林組,株式,プライム,建設業,100,1960-11-01,
18030,清水建設,株式,プライム,建設業,100,1961-10-02,
18070,佐藤渡辺,株式,スタンダード,建設業,100,2013-07-16,
18080,長谷工コーポレーション,株式,プライム,建設業,100,1962-03-05,
18100,松井建設,株式,スタンダード,建設業,100,1961-10-02,
18110,錢高組,株式,スタンダード,建設業,100,2013-07-16,
18120,鹿島建設,株式,プライム,建設業,100,1961-10-02,
18130,不動テトラ,株式,プライム,建設業,100,1962-05-01,
18140,大末建設,株式,プライム,建設業,100,1963-07-04,
18150,鉄建建設,株式,プライム,建設業,100,1961-10-02,
18200,西松建設,株式,プライム,建設業,100,1961-11-16,
18210,三井住友建設,株式,上場廃止,建設業,100,1962-02-05,2025-12-19
18220,大豊建設,株式,スタンダード,建設業,100,1962-02-01,
18260,佐田建設,株式,スタンダード,建設業,100,1962-08-15,
18270,ナカノフドー建設,株式,スタンダード,建設業,100,1962-09-11,
18280,田辺工業,株式,スタンダード,建設業,100,2007-03-22,
18330,奥村組,株式,プライム,建設業,100,1963-08-20,
18350,東鉄工業,株式,プライム,建設業,100,1962-11-19,
18400,土屋ホールディングス,株式,スタンダード,建設業,100,1996-08-19,
18410,サンユー建設,株式,上場廃止,建設業,100,2013-07-16,2026-03-27
18440,大盛工業,株式,スタンダード,建設業,100,1996-04-16,
18470,イチケン,株式,スタンダード,建設業,100,1963-06-01,
18480,富士ピー・エス,株式,スタンダード,建設業,100,2013-07-16,
18500,南海辰村建設,株式,スタンダード,建設業,100,2013-07-16,
18520,淺沼組,株式,プライム,建設業,100,1969-05-07,
18530,森組,株式,スタンダード,建設業,100,2013-07-16,
18600,戸田建設,株式,プライム,建設業,100,1969-04-01,
18610,熊谷組,株式,プライム,建設業,100,1970-04-01,
18660,北野建設,株式,スタンダード,建設業,100,1973-09-14,
18670,植木組,株式,スタンダード,建設業,100,1982-07-15,
18700,矢作建設工業,株式,プライム,建設業,100,1995-12-25,
18710,ピーエス・コンストラクション,株式,プライム,建設業,100,1962-06-01,
18730,日本ハウスホールディングス,株式,プライム,建設業,100,2013-07-16,
18780,大東建託,株式,プライム,不動産業,100,1992-02-05,
18790,新日本建設,株式,プライム,建設業,100,1994-10-07,
18820,東亜道路工業,株式,プライム,建設業,100,1961-10-02,
18840,日本道路,株式,上場廃止,建設業,100,1961-10-02,2025-10-10
18850,東亜建設工業,株式,プライム,建設業,100,1961-09-04,
18870,日本国土開発,株式,プライム,建設業,100,2019-03-05,
18880,若築建設,株式,プライム,建設業,100,1961-10-02,
18900,東洋建設,株式,上場廃止,建設業,100,1962-10-15,2025-12-16
18930,五洋建設,株式,プライム,建設業,100,1963-08-06,
18970,金下建設,株式,スタンダード,建設業,100,2013-07-16,
18980,世紀東急工業,株式,プライム,建設業,100,1973-09-07,
18990,福田組,株式,プライム,建設業,100,1975-12-19,
19040,大成温調,株式,スタンダード,建設業,100,2013-07-16,
19050,テノックス,株式,スタンダード,建設業,100,2013-07-16,
19090,日本ドライケミカル,株式,スタンダード,機械,100,2011-06-29,
19110,住友林業,株式,プライム,建設業,100,1990-11-30,
19140,日本基礎技術,株式,スタンダード,建設業,100,1993-10-07,
19210,巴コーポレーション,株式,スタンダード,建設業,100,1963-10-04,
19250,大和ハウス工業,株式,プライム,建設業,100,1963-01-23,
19260,ライト工業,株式,プライム,建設業,100,1961-10-02,
19280,積水ハウス,株式,プライム,建設業,100,1970-08-01,
19290,日特建設,株式,プライム,建設業,100,1983-12-19,
19300,北陸電気工事,株式,プライム,建設業,100,1990-12-12,
19340,ユアテック,株式,プライム,建設業,100,1977-12-14,
19380,日本リーテック,株式,プライム,建設業,100,1974-01-17,
19390,四電工,株式,プライム,建設業,100,1979-11-01,
19410,中電工,株式,プライム,建設業,100,1970-11-02,
19420,関電工,株式,プライム,建設業,100,1961-10-02,
19440,きんでん,株式,プライム,建設業,100,1970-03-16,
