銘柄コード,銘柄名称,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日
556A0,犬猫生活,株式,グロース,小売業,100,2026-04-23,
563A0,グローバルＸ　ＮＡＳＤＡＱ１００・デイリー・カバード・コール　ＥＴＦ,ETF,その他,nan,1,2026-04-23,
564A0,グローバルＸ　Ｓ＆Ｐ先進国キャッシュフロー・トップ１００　ＥＴＦ,ETF,その他,nan,1,2026-04-23,
559A0,梅乃宿酒造,株式,スタンダード,食料品,100,2026-04-24,
562A0,寶結,株式,TOKYO PRO Market,情報・通信業,100,2026-04-24,
565A0,ＦＦＦホールディングス,株式,TOKYO PRO Market,卸売業,100,2026-05-01,
561A0,マークスライフ,株式,TOKYO PRO Market,不動産業,100,2026-05-07,
566A0,ｉＦｒｅｅＥＴＦ　ブルームバーグ日本株（除く金融）高配当５０指数,ETF,その他,nan,1,2026-05-07,
567A0,ディープラス,株式,TOKYO PRO Market,卸売業,100,2026-05-13,
568A0,ｉシェアーズ　シルバー　ＥＴＦ,ETF,その他,nan,10,2026-05-20,
569A0,ｉシェアーズ　プラチナ　ＥＴＦ,ETF,その他,nan,10,2026-05-20,
570A0,ｉシェアーズ　日本国債０－１年　ＥＴＦ,ETF,その他,nan,10,2026-05-27,
571A0,ｉシェアーズ　日本国債１－３年　ＥＴＦ,ETF,その他,nan,10,2026-05-27,
572A0,ｉシェアーズ　日本国債３－７年　ＥＴＦ,ETF,その他,nan,10,2026-05-27,
573A0,ｉシェアーズ　日本国債２０年超　ＥＴＦ,ETF,その他,nan,10,2026-05-27,
574A0,ＬＡＳＳＩＣ,株式,TOKYO PRO Market,情報・通信業,100,2026-05-27,
576A0,グローバルＸ　チャイナテック・カバード・コール　ＥＴＦ,ETF,その他,nan,1,2026-05-28,
577A0,グローバルＸ　シルバー　ＥＴＦ,ETF,その他,nan,10,2026-05-28,
578A0,グローバルＸ　シルバー　ＥＴＦ（為替ヘッジあり）,ETF,その他,nan,10,2026-05-28,
579A0,グローバルＸ　銀ビジネス　ＥＴＦ,ETF,その他,nan,1,2026-05-28,
580A0,グローバルＸ　銅ビジネス　ＥＴＦ,ETF,その他,nan,1,2026-05-28,
575A0,前澤ホールディングス,株式,プライム,機械,100,2026-06-01,
585A0,日本バリュー・ボトムアップ株式投資戦略アクティブＥＴＦ,ETF,その他,nan,1,2026-06-09,
586A0,ＮＥＸＴ　ＦＵＮＤＳ　日経エンタメ・コンテンツ株指数連動型上場投信,ETF,その他,nan,10,2026-06-09,
587A0,インベスコＱＱＱトラスト　シリーズ１,ETF,その他,nan,1,2026-06-09,
581A0,ＧＯ,株式,グロース,情報・通信業,100,2026-06-16,
584A0,ＬｉＮＫＸ,株式,グロース,情報・通信業,100,2026-06-23,
583A0,不動産流通システム,株式,TOKYO PRO Market,不動産業,100,2026-06-24,
591A0,西條,株式,TOKYO PRO Market,小売業,100,2026-06-29,
589A0,ネイス,株式,グロース,サービス業,100,2026-06-30,
595A0,不二興産,株式,TOKYO PRO Market,不動産業,100,2026-06-30,
590A0,ギフティグループ,株式,プライム,情報・通信業,100,2026-07-01,
594A0,ＰＲＯ　ＨＯＬＤＩＮＧＳ,株式,TOKYO PRO Market,建設業,100,2026-07-09,
600A0,ニッセイＥＴＦ　ラッセル２０００,ETF,その他,nan,1,2026-07-09,
599A0,元気な介護,株式,TOKYO PRO Market,サービス業,100,2026-07-13,
605A0,ＮＥＸＴ　ＦＵＮＤＳ　日本株政策フォーカス上場投信,ETF,その他,nan,10,2026-07-14,
597A0,ａｎｄ　ＵＳ,株式,TOKYO PRO Market,化学,100,2026-07-15,
598A0,チャットプラス,株式,グロース,情報・通信業,100,2026-07-15,
606A0,金２倍ブルＥＴＦ,ETF,その他,nan,1,2026-07-15,
608A0,上場インデックスファンド東証ＲＥＩＴ高利回り３０,ETF,その他,nan,1,2026-07-21,
593A0,ティアフォー,株式,グロース,情報・通信業,100,2026-07-22,
601A0,ラックス建設,株式,TOKYO PRO Market,建設業,100,2026-07-22,
602A0,レックスアドバイザーズ,株式,TOKYO PRO Market,サービス業,100,2026-07-22,
603A0,アイ・グリッド・ソリューションズ,株式,グロース,電気・ガス業,100,2026-07-29,
604A0,ビーエイブル,株式,スタンダード,建設業,100,2026-07-29,
609A0,グローバルＸ　総合商社＆資源ビジネス－日本株式　ＥＴＦ,ETF,その他,nan,1,2026-07-30,
